<document id="null">
<head>

</head>
<Sentence id=''''>
1	﻿यौ	INJ	
2	भाइ	NN	
3	लोकनि	NN	
4	,	SYM	
5	हमर	PRP	
6	हार्दिक	NN	
7	इच्छा	NN	
8	आ	CC	
9	परमेश्वर	NNP	
10	सँ	PSP	
11	प्रार्थना	NN	
12	अछि	VM	
13	जे	PRP	
14	इस्राएली	NNP	
15	सभ	RP	
16	उद्धार	NN	
17	पबथि	VM	
18	।	SYM	
</Sentence>

<Sentence id=''''>
1	हम	PRP	
2	हुनका	PRP	
3	सभक	QF	
4	सम्बन्ध	NN	
5	,	SYM	
6	मे	PSP	
7	ई	PRP	
8	गवाही	NN	
9	दऽ	VM	
10	सकैत	VAUX	
11	छी	VAUX	
12	जे	PRP	
13	,	SYM	
14	हुनका	PRP	
15	सभ	QF	
16	केँ	PSP	
17	परमेश्वरक	NNP	<fs af=',,,,,,,'>
18	प्रति	JJ	
19	जोस	NN	
20	छनि	VM	
21	मुदा	CC	
22	ई	PRP	
23	जोस	NN	
24	सत्यक	NN	
25	ज्ञान	NN	
26	पर	PSP	
27	आधारित	NN	
28	नहि	NEG	
29	छनि	VM	
30	।	SYM	
</Sentence>

<Sentence id=''>
1	कारण	NN	
2	,	SYM	
3	ओ	PRP	
4	सभ	QF	
5	धार्मिक	NN	
6	ठहरबाक	VM	
7	ओहि	DEM	
8	माध्यम	PSP	
9	पर	PSP	
10	ध्यान	NN	
11	नहि	NEG	
12	देलनि	VM	
13	जे	PRP	
14	परमेश्वर	NNP	
15	स्थापित	NN	
16	कयलनि	VM	
17	,	SYM	
18	बल्कि	CC	
19	अपन	PRP	
20	माध्यम	PSP	
21	स्थापित	NN	
22	करबाक	VM	
23	प्रयत्न	VAUX	
24	कयलनि	VAUX	
25	।	SYM	
</Sentence>

<Sentence id=''>
1	एहि	PRP	
2	तरहेँ	PSP	
3	ओ	PRP	
4	सभ	QF	
5	परमेश्वर	NNP	
6	द्वारा	PSP	
7	देल	VM	
8	जाय	VAUX	
9	बाला	PSP	
10	धार्मिकताक	JJ	
11	अधीन	NN	
12	भेनाइ	VM	
13	अस्वीकार	NN	
14	कयलनि	VAUX	
15	।	SYM	
</Sentence>

<Sentence id=''>
1	मसीह	NNP	
2	धार्मिकता	JJ	
3	प्राप्त	NN	
4	करबाक	VM	
5	ओहि	DEM	
6	माध्यम	PSP	
7	केँ	DEM	
8	अन्त	NN	
9	करैत	VM	
10	छथि	VAUX	
11	जे	NN	
12	धर्म	NN	
13	-	SYM	
14	नियम	NN	
15	पर	PSP	
16	निर्भर	NN	
17	रहैत	VM	
18	अछि	VAUX	
19	,	SYM	
20	जाहि	PRP	
21	सँ	PSP	
22	जे	PRP	
23	केओ	PRP	
24	विश्वास	NN	
25	करैत	VM	
26	अछि	VAUX	
27	से	PSP	
28	धार्मिक	NN	
